_id,No. de proceso,Tipo proceso,Despacho judicial actual,Jurisdicción,Valor pretensión
1083,2019-00313,Ejecutivo,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 15.135.388
1084,2019-00213,Ejecutivo,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 6.567.949
1085,2019-00209,Ejecutivo,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 4.950.254
1086,2019-00233,Ejecutivo,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 3.875.684
1087,2019-00327,Ejecutivo,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 12.005.186
1088,2019-00321,Ejecutivo,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 9.679.854
1089,2019-00315,Ejecutivo,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 5.582.807
1090,2019-00326,Ejecutivo,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 9.480.790
1091,2019-00290,Ejecutivo,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 8.363.366
1092,2019-00223,Ejecutivo,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 13.562.293
1093,2019-00311,Ejecutivo,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 12.031.372
1094,2019-00211,Ejecutivo,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 10.238.290
1095,2019-00205,Ejecutivo,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 9.049.881
1096,2019-00324,Ejecutivo,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 15.851.361
1097,2019-00211,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 841.260
1098,2020-00246,Acción Popular,JUZGADO 013 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
1099,2019-00183,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 236.745.621
1100,2019-00312,Ejecutivo,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 14.284.076
1101,2018-00058,Nulidad y Restablecimiento del Derecho,JUZGADO 008 ADMINISTRATIVO DE CALI,Administrativo,$ 12.482.121
1102,2019-00131,Ejecutivo,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 522.711.624
1103,2018-00222,Reparacion Directa,JUZGADO 015 ADMINISTRATIVO DE CALI,Administrativo,$ 1.643.824.726
1104,2020-00008,Ejecutivo,JUZGADO 001 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 12.813.525
1105,2020-00028,Ejecutivo,JUZGADO 001 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 5.230.944
1106,2020-00023,Ejecutivo,JUZGADO 001 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 11.539.093
1107,2020-00027,Ejecutivo,JUZGADO 001 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 11.056.471
1108,2019-00300,Ejecutivo,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 6.525.165
1109,2019-00299,Ejecutivo,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 5.063.656
1110,2019-00301,Ejecutivo,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 9.036.694
1111,2019-00329,Ejecutivo,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 12.210.552
1112,2019-00302,Ejecutivo,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 7.507.858
1113,2019-00295,Ejecutivo,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 8.057.838
1114,2017-00708,Ordinario Laboral,TRIBUNAL SUPERIOR DE CALI SALA LABORAL,Laboral,$ 123.788.548
1115,2020-00041,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 414.060
1116,2019-00289,Ejecutivo,JUZGADO 009 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 6.604.262
1117,2019-00232,Ejecutivo,JUZGADO 009 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 10.774.642
1118,2019-00212,Ejecutivo,JUZGADO 009 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 6.927.773
1119,2020-00001,Nulidad y Restablecimiento del Derecho,JUZGADO 009 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 82.811.600
1120,2019-00323,Ejecutivo,JUZGADO 009 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 14.368.106
1121,2019-00322,Ejecutivo,JUZGADO 009 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 13.344.923
1122,2019-00229,Ejecutivo,JUZGADO 009 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 9.294.054
1123,2019-00318,Ejecutivo,JUZGADO 009 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 9.728.422
1124,2019-00206,Ejecutivo,JUZGADO 009 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 5.391.394
1125,2020-00029,Ejecutivo,JUZGADO 009 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 8.620.939
1126,2020-00172,Ordinario Laboral,JUZGADO 011 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 17.556.060
1127,2019-00331,Ejecutivo,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 16.528.892
1128,2019-00275,Ejecutivo,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 7.064.576
1129,2019-00311,Ejecutivo,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 13.878.283
1130,2019-00310,Ejecutivo,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 5.744.048
1131,2019-00225,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 14.625.145
1132,2020-00006,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 11.822.910
1133,2020-00080,Reparacion Directa,JUZGADO 18 ADMINISTRATIVO DE CALI,Administrativo,$ 614.462.100
1134,2020-00087,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 1.162.912.850
1135,2019-00219,Ejecutivo,JUZGADO 003 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 9.518.010
1136,2019-00234,Ejecutivo,JUZGADO 003 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 12.684.113
1137,2019-00235,Ejecutivo,JUZGADO 003 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 4.602.932
1138,2019-00240,Ejecutivo,JUZGADO 003 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 11.424.476
1139,2018-00150,Ejecutivo,JUZGADO 003 CIVIL DEL CIRCUITO DE CALI,Administrativo,$ 1.723.640.000
1140,2019-00315,Ejecutivo,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 9.154.501
1141,2019-00337,Ejecutivo,JUZGADO 003 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 8.399.544
1142,2019-00338,Ejecutivo,JUZGADO 003 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 10.395.646
1143,2019-00218,Ejecutivo,JUZGADO 005 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 12.198.714
1144,2019-00328,Ejecutivo,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 10.651.839
1145,2019-00316,Ejecutivo,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 7.309.644
1146,2019-00325,Ejecutivo,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 9.961.194
1147,2019-00330,Ejecutivo,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 7.969.283
1148,2019-00331,Ejecutivo,JUZGADO 003 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 11.434.556
1149,2019-00332,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 12.864.753
1150,2019-00339,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 8.144.969
1151,2019-00327,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 6.228.756
1152,2019-00335,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 3.647.463
1153,2019-00322,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 7.974.548
1154,2019-00324,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 5.095.765
1155,2019-00346,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 12.710.009
1156,2019-00241,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 6.269.598
1157,2019-00323,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 9.148.954
1158,2019-00330,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 8.730.831
1159,2019-00305,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 5.666.555
1160,2020-00044,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 15.990.302
1161,2020-00045,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 12.410.127
1162,2020-00151,Ejecutivo Laboral,JUZGADO 011 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 21.233.354
1163,2020-00152,Ejecutivo Laboral,JUZGADO 011 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 21.006.274
1164,2020-00153,Ejecutivo Laboral,JUZGADO 011 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 28.297.073
1165,2020-00177,Ejecutivo Laboral,JUZGADO 011 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 25.481.745
1166,2020-00101,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 20.000.000
1167,2020-00134,Ordinario Laboral,TRIBUNAL SUPERIOR DE CALI SALA LABORAL,Laboral,$ 15.000.000
1168,2020-00108,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 1.227.636.058
1169,2019-00356,Ejecutivo,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 67.410.990
1170,2019-00359,Ejecutivo,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 11.609.084
1171,2019-00338,Ejecutivo,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 16.026.879
1172,2019-00347,Ejecutivo,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 4.933.793
1173,2019-00336,Ejecutivo,JUZGADO 009 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 5.916.473
1174,2020-00041,Ejecutivo,JUZGADO 018 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 11.387.085
1175,2019-00220,Ejecutivo,JUZGADO 001 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 6.258.518
1176,2020-00016,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 8.176.463
1177,2020-00084,Ejecutivo,JUZGADO 001 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 11.510.976
1178,2019-00303,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 33.450.359
1179,2020-00138,Ejecutivo Laboral,JUZGADO 011 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 19.092.841
1180,2020-00134,Ejecutivo,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 13.477.628
1181,2020-00094,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 30.600.000.000
1182,2019-00208,Reparacion Directa,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 1.678.675.700
1183,2018-00743,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 3.477.956.700
1184,2019-00313,Ejecutivo,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 12.298.976
1185,2017-01901,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 8.825.612.000
1186,2019-00795,Ordinario Laboral,JUZGADO 006 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 45.500.291
1187,2020-00009,Reparacion Directa,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 112.367.538
1188,2020-00021,Reparacion Directa,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 133.748.475
1189,2019-00149,Contractual,JUZGADO 005 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 79.701.682
1190,2019-00306,Ejecutivo,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 12.846.722
1191,2019-00309,Ejecutivo,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 10.815.158
1192,2019-00160,Reparacion Directa,JUZGADO 005 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 416.011.350
1193,2019-00304,Ejecutivo,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 12.638.298
1194,2019-00241,Nulidad y Restablecimiento del Derecho,JUZGADO 005 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 50.000.000
1195,2019-00131,Reparacion Directa,JUZGADO 020 ADMINISTRATIVO MIXTO DEL CIRCUITO DE CALI,Administrativo,$ 82.811.600
1196,2019-00309,Nulidad y Restablecimiento del Derecho,JUZGADO 020 ADMINISTRATIVO MIXTO DEL CIRCUITO DE CALI,Administrativo,$ 18.418.871
1197,2019-00273,Reparacion Directa,JUZGADO 020 ADMINISTRATIVO MIXTO DEL CIRCUITO DE CALI,Administrativo,$ 281.224.256
1198,2020-00015,Ejecutivo,JUZGADO 020 ADMINISTRATIVO MIXTO DEL CIRCUITO DE CALI,Administrativo,$ 6.936.380
1199,2020-00021,Nulidad y Restablecimiento del Derecho,JUZGADO 020 ADMINISTRATIVO MIXTO DEL CIRCUITO DE CALI,Administrativo,$ 574.993
1200,2020-00107,Reparacion Directa,JUZGADO 020 ADMINISTRATIVO MIXTO DEL CIRCUITO DE CALI,Administrativo,$ 220.560.600
1201,2020-00040,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 167.632.111
1202,2019-00315,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 12.298.173
1203,2019-00338,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 13.125.471
1204,2019-00334,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 10.988.033
1205,2019-00333,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 10.976.320
1206,2019-00203,Reparacion Directa,JUZGADO 005 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 272.118.930
1207,2019-00331,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 5.815.023
1208,2019-00328,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 10.806.983
1209,2019-00317,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 9.509.321
1210,2019-00316,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 6.770.003
1211,2019-00302,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 3.994.857
1212,2019-00301,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 7.189.746
1213,2019-00274,Ejecutivo,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 12.894.343
1214,2019-00279,Ejecutivo,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 11.944.215
1215,2019-00272,Ejecutivo,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 9.984.325
1216,2019-00282,Ejecutivo,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 11.252.511
1217,2019-00282,Ejecutivo,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 13.386.426
1218,2022-00239,Ejecutivo,JUZGADO 013 ADMINISTRATIVO DE CALI,Administrativo,$ 13.577.917
1219,2019-00320,Ejecutivo,JUZGADO 10 ADMINISTRATIVO DE CALI,Administrativo,$ 13.553.148
1220,2019-00297,Ejecutivo,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 15.113.087
1221,2020-00021,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 21.629.160
1222,2019-00284,Ejecutivo,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 8.764.644
1223,2020-00030,Nulidad y Restablecimiento del Derecho,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 583.652
1224,2020-00037,Nulidad y Restablecimiento del Derecho,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 583.652
1225,2019-00203,Reparacion Directa,JUZGADO 021 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 982.892.278
1226,2020-00052,Reparacion Directa,JUZGADO 021 ADMINISTRATIVO DE CALI,Administrativo,$ 434.512.485
1227,2018-00280,Reparacion Directa,JUZGADO 004 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 233.633.392
1228,2019-00164,Reparacion Directa,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 2.498.404.864
1229,2019-00215,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 100.000.000
1230,2019-00319,Ejecutivo,JUZGADO 016 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 7.864.421
1231,2019-00282,Ejecutivo,JUZGADO 016 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 10.694.910
1232,2019-00329,Ejecutivo,JUZGADO 016 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 5.545.013
1233,2019-00317,Ejecutivo,JUZGADO 016 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 16.015.876
1234,2019-00287,Nulidad y Restablecimiento del Derecho,JUZGADO 005 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 297.443.104
1235,2019-00072,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 268.101.008
1236,2019-00190,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 37.344.903
1237,2019-00260,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 50.700.000
1238,2019-00090,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE CALI,Administrativo,$ 727.509.916
1239,2019-00023,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 53.717.126
1240,2019-00189,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 300.000.000
1241,2019-00130,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 1.019.285.312
1242,2019-00171,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 47.601.000
1243,2019-00124,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 72.487.426
1244,2019-00305,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 22.764.510
1245,2019-00261,Contractual,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Civil,$ 195.569.452
1246,2019-00243,Reparacion Directa,JUZGADO 18 ADMINISTRATIVO DE CALI,Administrativo,$ 1.357.455.131
1247,2020-00179,Nulidad Simple,JUZGADO 018 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
1248,2020-00163,Acción Popular,JUZGADO 019 ADMINISTRATIVO DEL CIRCUITO DE CALI,Administrativo,$ 0
1249,2017-00347,Nulidad y Restablecimiento del Derecho,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 909.688.576
1250,2020-00078,Reparacion Directa,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 122.892.420
1251,2018-01067,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 46.694.430
1252,2019-00309,Ejecutivo,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 8.334.731
1253,2020-00040,Reparacion Directa,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 182.531.742
1254,2020-00108,Reparacion Directa,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 277.006.810
1255,2020-00119,Reparacion Directa,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 175.808.700
1256,2019-00329,Ejecutivo,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 18.512.242
1257,2020-00041,Nulidad y Restablecimiento del Derecho,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 26.714.676
1258,2019-00312,Ejecutivo,JUZGADO 007 ADMINISTRATIVO DE CALI,Administrativo,$ 10.575.376
1259,2019-00312,Reparacion Directa,JUZGADO 021 ADMINISTRATIVO DE CALI,Administrativo,$ 862.184.520
1260,2020-00169,Ejecutivo,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 9.296.554
1261,2020-00086,Reparacion Directa,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 6.803.734
1262,2020-00087,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 5.193.703
1263,2019-00296,Reparacion Directa,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 438.901.500
1264,2020-00185,Reparacion Directa,JUZGADO 003 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 2.696.589.312
1265,2020-00339,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 374.389.070
1266,2019-00310,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 2.587.000
1267,2019-00055,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 69.531.856
1268,2020-00223,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 635.351.148
1269,2020-00037,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 586.708
1270,2019-00318,Nulidad y Restablecimiento del Derecho,JUZGADO 016 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 180.266.289
1271,2020-00012,Reparacion Directa,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 182.166.152
1272,2019-00295,Ejecutivo,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 6.068.197
1273,2020-00034,Ejecutivo,JUZGADO 003 ADMINISTRATIVO DE CALI,Administrativo,$ 6.264.429
1274,2020-00099,Reparacion Directa,JUZGADO 006 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 267.032.610
1275,2019-00260,Reparacion Directa,JUZGADO 016 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 740.446.592
1276,2020-00080,Nulidad y Restablecimiento del Derecho,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 160.423.744
1277,2020-00120,Reparacion Directa,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 545.901.500
1278,2019-00224,Ejecutivo,JUZGADO 2 ADMINISTRATIVO DE CALI,Administrativo,$ 8.314.059
1279,2019-00273,Ejecutivo,JUZGADO 2 ADMINISTRATIVO DE CALI,Administrativo,$ 4.366.633
1280,2020-00013,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 53.422.903
1281,2020-00226,Acción Popular,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 0
1282,2019-00302,Ejecutivo,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 10.355.574
1283,2020-00156,Reparacion Directa,JUZGADO 020 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 351.563.552
1284,2020-00010,Reparacion Directa,JUZGADO 003 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 460.229.075
